YSymbol	isin	name	qscore	qscorePerf	REVPS5YGR	MARGIN5YR	PER	Rendement	L%H	ChPctPrice5Y	YLD+PRY
8473.T	JP3436120004	SBI HOLDINGS INC	57	100	25,955	16,842	9,760	4,442	0,821	21,540	25,982
7187.T	JP3386590008	J LEASE CO LTD	52	100	20,700	12,779	12,113	2,712	0,649	36,094	38,806
6417.T	JP3326410002	SANKYO CO LTD	61	100	32,919	25,882	9,935	4,181	0,657	36,935	41,116
8381.T	JP3324000003	SAN-IN GODO BANK LTD	42	100	7,217	14,385	11,670	3,859	0,776	20,167	24,026
8367.T	JP3653400006	NANTO BANK LTD	60	100	4,136	13,329	11,507	3,687	0,853	21,114	24,802
5830.T	JP3149700001	IYOGIN HOLDINGS INC	48	100	10,586	23,170	9,310	2,446	0,851	46,413	48,859
7175.T	JP3149120002	IMAMURA SECURITIES CO LTD	96	100	5,695	20,279	9,134	4,576	0,595	12,829	17,404
6249.T	JP3282270002	GAMECARD JOYCO HOLDINGS INC	82	100	17,411	17,227	8,158	2,061	0,823	20,684	22,745
8359.T	JP3769000005	HACHIJUNI BANK LTD	68	100	7,600	18,030	12,964	3,332	0,849	30,671	34,004
8334.T	JP3276400003	GUNMA BANK LTD	49	100	6,411	18,197	12,871	3,360	0,854	36,930	40,290
6627.T	JP3546550009	TERA PROBE INC	70	100	17,114	15,133	16,558	2,096	0,957	50,234	52,329
8341.T	JP3352000008	77 BANK LTD	59	100	7,258	19,871	10,705	3,564	0,839	32,984	36,548
1662.T	JP3421100003	JAPAN PETROLEUM EXPLORATION CO LTD	96	100	6,237	11,294	3,786	4,801	0,804	30,652	35,453
7841.T	JP3169700006	ENDO MANUFACTURING CO LTD	83	100	12,198	6,113	11,779	2,461	0,614	24,170	26,632
6419.T	JP3860220007	MARS GROUP HOLDINGS CORP	99	100	11,286	17,909	7,966	3,943	0,407	13,523	17,466
7080.T	JP3400030007	SPORTSFIELD CO LTD	52	100	13,471	10,986	8,910	1,400	0,682	25,694	27,094
4365.T	JP3869100002	MATSUMOTO YUSHI-SEIYAKU CO LTD	78	99	8,912	16,101	10,136	2,513	0,651	20,686	23,200
5423.T	JP3579800008	TOKYO STEEL MANUFACTURING CO LTD	89	99	17,726	8,029	8,290	2,730	0,026	16,901	19,631
9110.T	JP3385000009	NS UNITED KAIUN KAISHA LTD	100	99	10,762	8,813	6,429	6,375	0,781	29,115	35,490
8411.T	JP3885780001	MIZUHO FINANCIAL GROUP INC	64	99	8,935	17,251	13,535	3,995	0,853	30,006	34,000
8316.T	JP3890350006	SUMITOMO MITSUI FINANCIAL GROUP INC	67	99	7,258	19,323	13,132	3,808	0,837	33,070	36,878
4972.T	JP3431550007	SOKEN CHEMICAL & ENGINEERING	94	99	10,554	6,698	8,884	3,826	0,947	23,623	27,449
