symbol	isin	name	sector	industry	country	qscore	qscorePerf	MKTCAP	REVPS5YGR	MARGIN5YR	Focf2Rev_AAvg5	ratings_CURR	ratings_1WA	VE/EBITDA	VE/CA	CAPI/TANG	PER	Rendement	Dette nette / EBITDA	Ratio courant	VE/FCF	%M200D	closePrice	quoteCurrency	En Solde	Juste Prix	NPRICE	L%H	priceCurrency	reportCurrency	EV2FCF_CurTTM	EV	TTMFCF	Net Income	NPMTRENDGR	Dette nette	shrOutstanding	EBITDA	PR1DAYPRC	PR5DAYPRC	ChPctPriceMTD	ChPctPrice5Y	YSymbol	AROE5YAVG	YLD+PRY	PDATE	qMKTCAP.USD	VOL10DAVG	EPSTRENDGR	EnSolde2	DCF	TTMFCFSHR	FOCF_AYr5CAGR	MKTCAP.USD	VOL10DUSD
NEA	ES0166300212	NICOLAS CORREA SA			()	92	77	118978600	12,369	9,852	3,201	1,000	1,000	6,426	0,888	1,426	9,610	3,838	0,000	1,904	0,000	-4	9,700	EUR	9	10,601	9,660	37	EUR			105804600	-4768000	12,039	3,016	-13174000	12,156	16,465	-3,206	-8,000	-6,667	15,349	NEA.MC	14,196	19,188	2026-03-13T00:00:00	35	5810	16,237	-99	0,139	-0,392		137194223,660	65571
AZK	ES0112458312	AZKOYEN SA			()	82	75	222006000	13,035	8,962	4,940			5,863	1,047	3,750	12,781	0,000	0,000	1,885	14,588	4	9,140	EUR	0	9,120	9,080	77	EUR		14,588	221073000	13762000	17,324	8,236	-933000	24,382	37,709	3,417	2,022	-0,873	9,149	AZK.MC	14,013	9,149	2026-03-13T00:00:00	43	6990	22,313	-36	5,821	0,564	7,344	255995118,600	73392
BTG	GB00B0305S97	BTG CONSULTING PLC			()	78	39	190700500	10,834	1,702	3,503	1,400	1,400	6,572	1,253	14,114	19,826	3,274	0,490	1,514	21,642	2	118,000	GBX	-5	1,127	1,185	75	GBP		21,642	199800500	3600000	9,900	25,425	14900000	160,929	30,400	0,424	0,424	0,424	-7,053	BTG.L	2,533	-3,779	2026-03-12T00:00:00	43	469880	39,029	-42	0,690	0,022		254413537,050	742837
CSP	IT0001127874	CSP INTERNATIONAL FASHION GROUP SPA			()	98	0	11984850	-7,496	-1,146	0,454			2,795	0,156	0,344	21,521	0,000	0,869	2,158	8,591	-3	0,300	EUR	-100	0,000	0,300	41	EUR		8,591	13710850	654000	0,028		4260000	38,950	4,905	2,041	3,806	1,351	-8,114	CSP.MI	-2,020	-8,114	2026-03-17T00:00:00	10	18030		35	0,460	0,016		13819730,535	6397
CAML	GB00B67KBV28	CENTRAL ASIA METALS PLC			()	91	0	320485200	4,076	24,449	14,288	2,167	2,167	3,536	1,673	1,233	12,194	8,243	0,000	1,882	143,077	0	172,600	GBX	12	2,046	1,794	41	GBP		143,077	271315660	-6022790	27,411	-4,741	-29434110	177,711	76,734	0,448	-2,500	-25,094	13,712	CAML.L	13,248	21,956	2026-03-12T00:00:00	51	1908390	-0,745	-54	0,823	-0,033	-20,234	427559305,320	4591444
KA8	DE0007857476	KLASSIK RADIO AG			()	91	0	14475000	1,279	3,867	-1,607			5,862	0,697	26,176	19,071	5,000	0,430	0,812	11,985	-8	3,000	EUR	-7	2,788	3,000	18	EUR		11,985	13917000	224000	0,759	-18,822	1021000	4,825	2,374	0,000	-1,316	-1,961	-7,688	KA8.DE	8,834	-2,688	2026-03-12T00:00:00	11	0	-17,785	-22	2,338	0,046	-7,983	16691122,500	0
SUR	DE0005176903	SURTECO GROUP SE			()	89	0	182967600	4,872	2,674	3,577	2,000	2,000	5,521	0,614	2,649	23,606	2,395	3,680	1,916	9,897	-19	10,600	EUR	-100	0,000	11,800	13	EUR		9,897	511951600	58624000	-4,535	-8,675	341258000	15,506	92,734	0,000	-3,673	-5,221	-13,870	SUR.DE	5,177	-11,475	2026-03-12T00:00:00	40	500	-2,252	14	13,662	3,781	0,680	210979939,560	6803
BSS	IT0003097257	BIESSE SPA			()	88	0	139479200	1,339	2,258	3,875	2,000	2,000	2,636	0,211	1,036	28,312	1,493	0,055	1,274	0,000	-26	5,090	EUR	-100	0,000	5,090	9	EUR			142425200		-7,717	-23,057	2946000	27,403	54,024	2,932	-9,107	-15,448	-25,674	BSS.MI	6,778	-24,182	2026-03-17T00:00:00	37	69800	-22,051	-100	0,000	0,000		160833465,520	409676
NFN	DE000A0N4N52	NFON AG			()	86	0	53658040	5,552	-6,809	-5,359	1,800	1,800	4,451	0,615	999,000	71,381	0,000	0,763	1,204	12,189	-35	3,340	EUR	-18	2,666	3,240	2	EUR		12,189	54752040	5800000	0,750		9382000	16,561	12,301	0,621	-7,429	-7,955	-29,276	NFN.F	-10,665	-29,276	2026-03-12T00:00:00	24	2090		-1	3,218	0,355		61873085,924	7808
PRTC	GB00BY2Z0H74	PURETECH HEALTH PLC			()	84	0	299470900	-10,916	-253,251	-1365,333	1,000	1,000	999,000	6,502	1,052	7,974	0,000	0,000	8,487	2,281	-6	120,800	GBX	45	2,220	1,232	48	GBP		2,281	31148030	-75188620	37,987	-31,199	-233872600	241,809	0,000	-1,597	-1,124	0,326	-21,854	PRTC.L	-4,166	-21,854	2026-03-12T00:00:00	50	275440	-32,055	-91	0,109	-0,312		399524127,690	455090
