symbol;isin;name;sector;industry;country;qscore;qscorePerf;MKTCAP;REVPS5YGR;MARGIN5YR;Focf2Rev_AAvg5;ratings_CURR;ratings_1WA;VE/EBITDA;VE/CA;CAPI/TANG;PER;Rendement;Dette nette / EBITDA;Ratio courant;VE/FCF;%M200D;closePrice;quoteCurrency;En Solde;Juste Prix;NPRICE;L%H;priceCurrency;reportCurrency;EV2FCF_CurTTM;EV;TTMFCF;Net Income;NPMTRENDGR;Dette nette;shrOutstanding;EBITDA;PR1DAYPRC;PR5DAYPRC;ChPctPriceMTD;ChPctPrice5Y;YSymbol;businessSummary;AROE5YAVG;YLD+PRY;PDATE;qMKTCAP.USD;VOL10DAVG;EPSTRENDGR;EnSolde2;DCF;TTMFCFSHR;FOCF_AYr5CAGR;MKTCAP.USD;VOL10DUSD;TTMROAPCT;TTMROEPCT;roic;SctRoic;momentum
MLCIA;PTIAG0AM0005;CIAGEST - SIGI S.A;;;PT;0;0;;;;;;;;;;;0,0;;0,0;0,0;-1,0;2,2;EUR;-100,0;0,0;2,2;-1,0;;;;;;;;;;0,0;;;;-1,0;MLCIA.LS;;;-1,0;;0;;0,0;-100,0;;0,0;;-1;0,0;;;;Default;
MLVDN;PTVUO0AM0000;VILA DOS NUMEROS;;;PT;0;0;;;;;;;;;;;0,0;;0,0;0,0;;;EUR;-100,0;0,0;;-1,0;;;;;;;;;;0,0;;;;;;;;0,0;;0;;0,0;-100,0;;0,0;;-1;0,0;;;;Default;
MLARR;PTCAP0AM0017;ARRÃBIDASHOPPING;;;PT;0;0;;;;;;;;;;;0,0;;0,0;0,0;;;EUR;-100,0;0,0;;-1,0;;;;;;;;;;0,0;;;;;;;;0,0;;0;;0,0;-100,0;;0,0;;-1;0,0;;;;Default;
MLGSH;PTGHP0AM0005;GAIASHOPPING Â¿ S;;;PT;0;0;;;;;;;;;;;0,0;;0,0;0,0;;;EUR;-100,0;0,0;;-1,0;;;;;;;;;;0,0;;;;;;;;0,0;;0;;0,0;-100,0;;0,0;;-1;0,0;;;;Default;
MLORE;PTOTP0AM0004;OLIMPO REAL ESTATE;;;PT;0;0;;;;;;;;;;;0,0;;0,0;0,0;278,0;3,7;EUR;-100,0;0,0;3,7;-1,0;;;;;;;;;;0,0;;;;30,4;YORE.MC;;;30,4;;0;;0,0;-100,0;;0,0;;-1;0,0;;;;Default;
GLINT;PTPAD0AM0007;GLINTT GLOBAL SA;Technology;IT Services & Consulting (NEC);Portugal (PRT);75;90;109573200,0;5,8;3,3;10,0;;;3,3;1,0;999,0;15,4;2,5;0,7;0,8;0,0;-9,0;1,3;EUR;-28,0;0,9;1,3;36,0;EUR;;;137098740,0;;7,1;65,2;30861150,0;87,0;41,5;-0,4;4,6;5,9;40,2;GLINT.LS;;4,0;42,6;2026-05-26T00:00:00;32;36070,0;103,9;24,0;1,7;0,0;16,2;127510332;52890,0;4,1;8,5;14,7;IT;0,0
NOS;PTZON0AM0006;NOS SGPS SA;Services;Integrated Telecommunications Services (;Portugal (PRT);91;70;2694294000,0;5,9;13,2;5,4;;;6,1;2,3;999,0;10,8;7,2;2,2;0,6;17,6;17,0;5,3;EUR;-59,0;2,2;5,2;78,0;EUR;;17,6;4370412000,0;413017000,0;248,8;16,7;1568481000,0;512,5;711,0;-0,1;-3,5;-6,9;11,7;NOS.LS;;20,9;19,0;2026-05-26T00:00:00;80;569150,0;23,5;56,0;11,8;0,8;26,0;3135349927;3481653,0;7,0;21,4;6,6;telecom;4,0
SON;PTSON0AM0001;SONAE SGPS SA;Services;Supermarkets & Convenience Stores;Portugal (PRT);83;50;3836000000,0;10,9;3,7;3,0;;;6,6;0,6;4,8;18,9;3,8;3,0;0,8;16,9;15,0;1,9;EUR;-85,0;0,3;1,9;83,0;EUR;;16,9;7044528000,0;655273000,0;199,2;30,4;3208528000,0;1944,8;1069,4;1,5;-2,8;-1,5;19,0;SON.LS;;9,4;22,7;2026-05-27T00:00:00;83;2527380,0;24,1;43,0;3,4;0,3;33,6;4463953200;5801231,0;2,6;6,4;8,2;retail;8,0
NBA;PTNBA0AM0006;NOVABASE SGPS SA;Technology;IT Services & Consulting (NEC);Portugal (PRT);42;10;343465600,0;-4,1;5,4;-13,7;;;16,6;2,6;8,7;60,0;10,8;0,0;1,7;0,0;2,0;8,9;EUR;44,0;15,9;8,9;54,0;EUR;;;328256600,0;-41113000,0;9,7;26,9;-15209000,0;37,7;19,7;1,1;0,4;0,0;14,5;NBA.LS;;8,9;25,4;2026-05-26T00:00:00;53;1430,0;21,6;-95,0;0,4;-1,1;;399690918;15157,0;8,6;15,6;8,9;IT;1,0
IBS;PTIBS0AM0008;IBERSOL SGPS SA;Services;Quick Service Restaurants;Portugal (PRT);99;0;481791700,0;9,3;4,2;10,0;;;4,9;1,2;2,2;31,3;5,7;1,3;1,1;7,9;11,0;11,8;EUR;-36,0;7,6;11,8;77,0;EUR;;7,9;649999700,0;90505290,0;15,2;;168208000,0;40,6;132,3;0,9;1,2;-1,8;13,7;IBS.LS;;5,4;19,3;2026-05-27T00:00:00;56;60450,0;;47,0;22,1;2,2;;560661001;833945,0;2,1;4,6;7,3;retail;11,0
COR;PTCOR0AE0006;CORTICEIRA AMORIM SGPS SA;Capital Goods;Wood Products;Portugal (PRT);96;0;877800000,0;3,1;9,3;2,3;;;26,4;1,1;1,2;15,8;2,5;2,1;3,1;14,2;-3,0;6,7;EUR;-81,0;1,3;6,6;26,0;EUR;EUR;14,2;964299000,0;177231000,0;15,4;-4,8;75859000,0;133,0;36,6;-0,9;-4,5;2,8;-8,6;COR.LS;;11,5;-6,1;2026-05-26T00:00:00;61;405600,0;-2,9;68,0;20,5;1,3;20,5;1021495860;3115178,0;4,9;7,4;4,4;Default;0,0
EGL;PTMEN0AE0005;MOTA ENGIL SGPS SA;Capital Goods;Construction & Engineering (NEC);Portugal (PRT);94;0;1469457000,0;10,7;4,1;2,5;;;4,3;0,7;999,0;10,9;3,1;2,6;1,1;28,1;-4,0;4,8;EUR;-100,0;0,0;4,8;47,0;EUR;;28,1;3763401000,0;231830000,0;133,1;70,9;2293944000,0;306,8;874,4;-1,2;-1,5;-0,7;26,7;EGL.LS;;44,8;29,9;2026-05-27T00:00:00;69;1789110,0;;55,0;10,6;0,8;114,3;1710007110;9972721,0;3,0;44,7;5,7;Default;1,0
TDSA;PTTD10AM0000;TEIXEIRA DUARTE SA;Capital Goods;Construction & Engineering (NEC);Portugal (PRT);88;0;183960000,0;-4,1;-2,6;-2,5;;;7,2;1,1;1,5;3,2;0,0;5,1;1,2;11,3;-19,0;0,4;EUR;-100,0;0,0;0,4;33,0;EUR;;11,3;826958000,0;31857000,0;58,5;15,4;580134000,0;420,0;114,2;-2,4;2,6;-1,8;35,1;TDSA.LS;;-12,1;35,1;2026-05-27T00:00:00;45;3509110,0;11,8;-100,0;0,0;0,1;;214074252;1788595,0;4,1;41,5;2,3;Default;0,0
